NGI_ID	UserID	Mreads	Q30
P12108_101	T89_LD_1	10.75	91.25
P12108_102	T89_LD_2	11.57	89.72
P12108_103	T89_LD_3	11.11	89.59
P12108_104	FT1_LD_1	9.81	89.78
P12108_105	FT1_LD_2	13.93	90.71
P12108_106	FT1_LD_3	12.26	89.85
P12108_107	736_LD_1	12.99	89.76
P12108_108	736_LD_2	10.57	89.35
P12108_109	736_LD_3	11.94	89.22
P12108_110	T89_SDW15_1	14.27	89.19
P12108_111	T89_SDW15_2	10.30	90.69
P12108_112	T89_SDW15_3	10.27	89.82
P12108_113	FT1_SDW15_1	12.23	89.33
P12108_114	FT1_SDW15_2	13.29	89.72
P12108_115	FT1_SDW15_3	14.53	90.85
P12108_116	736_SDW15_1	11.85	89.72
P12108_117	736_SDW15_2	11.79	90.56
P12108_118	736_SDW15_3	14.29	89.11
P12108_119	T89_CTW2_1	13.54	90.98
P12108_120	T89_CTW2_2	12.64	89.46
P12108_121	T89_CTW2_3	14.91	89.04
P12108_122	FT1_CTW2_1	12.14	90.6
P12108_123	FT1_CTW2_2	12.73	90.7
P12108_124	FT1_CTW2_3	11.83	89.59
P12108_125	736_CTW2_1	12.23	88.89
P12108_126	736_CTW2_2	14.87	89.78
P12108_127	736_CTW2_3	14.03	89.89
P12108_128	T89_CTW4_3	12.71	89.63
P12108_129	T89_CTW4_1	14.30	91.05
P12108_130	T89_CTW4_2	14.15	90.75
P12108_131	FT1_CTW4_1	12.16	89.85
P12108_132	FT1_CTW4_2	11.82	89.94
P12108_133	FT1_CTW4_3	10.57	89.83
P12108_134	736_CTW4_1	15.85	89.98
P12108_135	736_CTW4_2	15.40	89.65
P12108_136	736_CTW4_3	12.93	88.91
P12108_137	FT1_CTW8_4	12.61	87.44
P12108_138	FT1_CTW8_5	14.31	89.98
P12108_139	FT1_CTW8_6	12.67	90.76
P12108_140	FT1_CTW8_1	11.61	89.7
P12108_141	FT1_CTW8_2	13.82	89.2
P12108_142	FT1_CTW8_3	16.97	90.83
P12108_143	736_CTW8_1	17.28	90.89
P12108_144	736_CTW8_2	12.96	90.27
P12108_145	736_CTW8_3	16.21	89.26
P12108_146	FT1_LDD7_1	14.29	89.53
P12108_147	FT1_LDD7_2	15.03	90.86
P12108_148	FT1_LDD7_3	12.46	89.66
P12108_149	T89_LDD7_1	11.05	89.47
P12108_150	T89_LDD7_2	17.99	88.98
P12108_151	T89_LDD7_3	16.99	90.24
P12108_152	736_LDD7_1	14.98	89.58
P12108_153	736_LDD7_2	16.93	89.6
P12108_154	736_LDD7_3	17.02	90.71
P12108_155	T89_1	15.80	90.59
P12108_156	T89_2	12.99	89.28
P12108_157	T89_3	8.50	88.4
P12108_158	FT2808_1	11.28	88.64
P12108_159	FT2808_2	12.04	90.05
P12108_160	FT2808_3	12.25	90.25
P12108_161	FT2809_1	11.72	88.65
P12108_162	FT2809_2	14.76	89.93
P12108_163	FT2809_3	15.18	89.59
P12108_201	T89_LD_4	14.99	88.42
P12108_202	T89_LD_5	26.52	88.91
P12108_203	T89_LD_6	32.54	88.96
P12108_204	FT1_LD_4	20.43	90.07
P12108_205	FT1_LD_5	15.34	90.08
P12108_206	FT1_LD_6	13.38	88.86
P12108_207	736_LD_4	14.95	90.05
P12108_208	736_LD_6	17.90	89.78
P12108_209	736_LD_5	17.35	89.59
P12108_210	T89_SDW15_4	21.58	88.95
P12108_211	T89_SDW15_5	30.90	89.59
P12108_212	T89_SDW15_6	13.27	89.72
P12108_213	FT1_SDW15_4	11.57	88.37
P12108_214	FT1_SDW15_5	15.95	90.17
P12108_215	FT1_SDW15_6	11.56	88.62
P12108_216	736_SDW15_4	15.61	90.29
P12108_217	736_SDW15_5	20.19	89.4
P12108_218	736_CTW2_5	18.52	88.72
P12108_219	T89_CTW2_4	13.51	88.76
P12108_220	T89_CTW2_5	13.77	90.6
P12108_221	T89_CTW2_6	10.66	88.75
P12108_222	FT1_CTW2_4	11.91	88.87
P12108_223	FT1_CTW2_5	13.35	90.04
P12108_224	FT1_CTW2_6	14.77	90.09
P12108_225	736_CTW2_4	13.20	90.26
P12108_226	736_SDW15_6	12.15	88.5
P12108_227	736_CTW2_6	16.21	90.72
P12108_228	T89_CTW4_4	14.05	89.3
P12108_229	T89_CTW4_5	13.22	90.8
P12108_230	T89_CTW4_6	13.68	90.37
P12108_231	FT1_CTW4_4	12.62	88.89
P12108_232	FT1_CTW4_5	12.75	89.46
P12108_233	FT1_CTW4_6	9.49	89.68
P12108_234	736_CTW4_4	12.72	89.18
P12108_235	736_CTW4_5	14.34	89.5
P12108_236	736_CTW4_6	41.31	90.66
P12108_237	T89_CTW8_4	14.76	90.15
P12108_238	T89_CTW8_5	31.47	90.3
P12108_239	T89_CTW8_6	15.77	89.41
P12108_240	T89_CTW8_1	13.17	88.61
P12108_241	T89_CTW8_2	14.19	88.59
P12108_242	T89_CTW8_3	13.28	89.51
P12108_243	736_CTW8_4	12.75	89.15
P12108_244	736_CTW8_5	13.20	88.3
P12108_245	736_CTW8_6	15.91	88.81
P12108_246	T89_LDD7_4	22.04	88.56
P12108_247	T89_LDD7_5	17.66	89.06
P12108_248	T89_LDD7_6	13.13	90.11
P12108_249	FT1_LDD7_4	21.31	90.79
P12108_250	FT1_LDD7_5	15.95	90.52
P12108_251	FT1_LDD7_6	13.75	91.03
P12108_252	736_LDD7_4	10.89	89.48
P12108_253	736_LDD7_5	11.97	91.25
P12108_254	736_LDD7_6	16.62	90.87
P12108_255	T89_4	13.66	89.44
P12108_256	T89_5	12.17	88.78
P12108_257	T89_6	10.12	88.88
P12108_258	FT2808_4	13.14	91.16
P12108_259	FT2808_5	9.67	89.47
P12108_260	FT2808_6	14.62	89.92
P12108_261	FT2809_4	9.26	88.81
P12108_262	FT2809_5	13.27	88.56
P12108_263	FT2809_6	10.12	89.76
